LRRRLRRLRLRRRLRLLLLRRRLRLRRLRLRLRRLRRRLRRLRRRLRLLLRRLRRLRRLRRLRRLLLLLRLRLRRRLRLLRRLRLRRRLRRLRRRLLLRRLRRLRRLRRRLRLRLRRLLRRRLRRLRRRLRRRLRRRLRLRRLRRLRRLRRRLRLRRLRRLLRRRLRRLRRLRRRLRLRLRRLLRRRLLRRLRRRLRRRLRLRRLLRRRLRLRRLLRRLRLRRRLRLRRRLRRLRRLRRLRRRLRRRLRLLRRLRRLLRRLRRRLRRLRLRLRRRLLLRRLRLRRLRRLRLRLLRLRRLRLRLRRRR

XKM = (FRH, RLM)
JRM = (RSQ, CGB)
HDJ = (SMJ, RXN)
TVT = (TDQ, XHS)
JSC = (TJL, FXN)
JGR = (VFP, QSV)
MSK = (MXF, JGT)
BGT = (NKM, FCH)
TGM = (MKL, QJP)
XHQ = (XVL, CFT)
QSV = (NVL, TKC)
CFM = (DDP, RKF)
KHQ = (VJR, JFV)
JXH = (VVK, KNQ)
GFP = (QQF, VDK)
HRD = (QCD, CBV)
DTN = (DCX, DQM)
SLS = (XLN, TQM)
HMC = (NDK, FBC)
LTA = (LSN, GHJ)
XBC = (TSC, CFM)
MPP = (JCS, HNV)
KKJ = (GQR, VCL)
JPH = (KGX, LDG)
JCS = (TFS, LCB)
FBR = (PNM, QBT)
HBC = (HBT, LML)
HRV = (PTJ, TKJ)
QPV = (HKV, MLB)
HFT = (JRD, JHN)
NHR = (XJD, HBV)
TDQ = (QNM, HCG)
CTT = (XBC, QXK)
GVC = (CPP, PXQ)
TRK = (KFP, QCS)
CLK = (CPT, QFJ)
DPB = (FQC, HBJ)
DRQ = (KMR, VHF)
CBX = (DHC, FRG)
SDM = (DHD, LGK)
RQR = (RVC, DVD)
MNF = (SHF, PCD)
RCK = (KSB, TQT)
FXT = (VFN, PND)
GHZ = (KSN, QQN)
FHX = (NPL, RNQ)
JKM = (JXH, BFR)
CDP = (SLQ, HHM)
JXT = (SFT, CXR)
DXN = (FHM, MDX)
LNN = (HBF, RQX)
VCL = (BRF, FQQ)
KJR = (TKN, TTK)
VPS = (CFT, XVL)
GBH = (LNN, LGM)
MBR = (GNB, XKM)
XSG = (SHP, DQF)
DLG = (CJV, RKB)
QCL = (TNX, JQR)
MST = (KGK, GSP)
HFJ = (LLH, SMV)
RKN = (NRL, LFD)
PSR = (SRD, JKH)
CCS = (MGR, DQB)
DGH = (SHF, PCD)
CBV = (PQC, TRP)
TDJ = (CDM, TRS)
BMS = (JQJ, FVR)
PRF = (CKX, GQQ)
TFS = (SXM, BHV)
BFR = (KNQ, VVK)
BFN = (HTP, TSP)
BHJ = (VKD, BGT)
GNB = (FRH, RLM)
NXT = (BFS, RDD)
KHK = (QRD, XDK)
DXP = (SRF, RQN)
FPQ = (DXC, VQT)
HMX = (DFN, KQB)
JRB = (KJT, MPX)
PCD = (MVM, GQG)
GFL = (VGC, BBM)
HKV = (QLG, DCG)
SJH = (HBD, LQB)
XJQ = (LQM, XFF)
DCJ = (KGJ, FLQ)
MSJ = (JBF, MGP)
JMC = (PFD, BVL)
MQF = (FXT, RFM)
TQL = (DHD, LGK)
HCR = (GKQ, PRF)
MXF = (FHD, MBD)
NKM = (QHV, GXS)
CJB = (BSL, XNT)
GTX = (BVX, XBF)
XHF = (XBC, QXK)
DGF = (TGM, HNC)
DVH = (BSL, XNT)
MXN = (VHF, KMR)
NHM = (XBJ, QPV)
QNF = (DXN, FFM)
DQX = (DSH, BLL)
SNT = (PTL, PRJ)
JDP = (CFX, HDH)
MTS = (CKN, VCH)
CRF = (CVL, HFJ)
TXB = (XTH, LCQ)
JRD = (HLM, KMG)
LTQ = (NPS, VHN)
XFS = (TCQ, VQV)
LDG = (BVJ, CRM)
LBR = (JTV, HHC)
FSH = (MPN, RTD)
JJQ = (LGS, RHS)
KVL = (HQR, SNT)
CTR = (TMV, RVV)
FTL = (GGD, TVT)
MDG = (MXJ, QVB)
VMC = (TLK, SKX)
KGK = (XPV, XKJ)
XFB = (HBD, LQB)
XXX = (CKS, PRQ)
XFF = (VGQ, NCX)
RHR = (BMV, HBC)
GMC = (BXN, GLX)
SDR = (GTX, KHN)
HTD = (JXD, HGK)
GXS = (LPG, CDP)
XMR = (DRB, HPG)
XTC = (TCK, BRK)
VDQ = (LBR, SDS)
BSL = (DGD, QBJ)
RVV = (DTN, JPF)
PPH = (BFD, CBX)
FQC = (THQ, PFJ)
GJS = (DRQ, MXN)
XVR = (HMC, GSZ)
VSK = (PSF, KKH)
MGD = (BCB, KLR)
BNF = (BFT, TKD)
RDG = (RKV, LBN)
XKN = (JPT, XVR)
HNS = (HMX, TRV)
LFD = (JPH, SJP)
GQQ = (HSQ, GHZ)
XJS = (CTP, NXT)
HBJ = (PFJ, THQ)
SXM = (DXV, PBV)
XXD = (DGF, TSH)
JKH = (HJM, ZZZ)
GHJ = (DPB, KHH)
SSK = (SBD, HNS)
SST = (DQK, LKV)
HTC = (RLK, MLT)
VCH = (DQX, PXL)
HML = (KPK, XPX)
KKS = (FQH, JRP)
DDP = (JJK, XVP)
SQS = (QSN, MHV)
VPD = (RFV, XHX)
GSZ = (FBC, NDK)
JPX = (VGC, BBM)
MGP = (CPQ, BGB)
TCK = (VKS, RVL)
VJC = (SVV, JXT)
RTL = (NXT, CTP)
QGH = (XLN, TQM)
JRR = (BDL, HRD)
NKH = (JHK, XHR)
RTD = (JGR, CGP)
FHD = (GPV, JVV)
SPG = (SMN, CDN)
JGT = (FHD, MBD)
QVP = (TJN, DXQ)
TPD = (KLG, BHK)
PXQ = (GHB, MQF)
HCG = (GDH, DQH)
FPL = (LTQ, LKT)
CFS = (LBR, SDS)
PTL = (JLH, RBB)
TSH = (TGM, HNC)
XBF = (DBK, GPG)
CHX = (NMG, VNR)
KHN = (BVX, XBF)
BLV = (BFR, JXH)
DRR = (QFX, RLS)
MLB = (QLG, DCG)
PBJ = (HFJ, CVL)
SLQ = (KKJ, VVT)
QJP = (BTM, TGJ)
TTV = (HTD, DMF)
XVG = (MPC, DGG)
JFV = (SPG, CTS)
DVD = (SFX, CRR)
PRJ = (JLH, RBB)
BKN = (SST, RPK)
JJK = (TQL, SDM)
JLL = (DPF, BPG)
TMV = (JPF, DTN)
MKG = (HBS, MTS)
HJL = (LSN, GHJ)
GGJ = (DQF, SHP)
CMC = (DLG, TGH)
XHR = (VBR, RLD)
KMN = (SSK, FTT)
DPF = (LHC, LKJ)
PBV = (GXH, DGS)
FBC = (NKH, KHP)
TSC = (DDP, RKF)
JBF = (CPQ, BGB)
QLN = (RDR, TPD)
QFX = (FHX, KDV)
MLK = (VPD, HKC)
DHD = (SQS, NKX)
JSD = (DRQ, MXN)
BJA = (DJV, JRM)
TKJ = (PKD, VRR)
CTP = (BFS, RDD)
BFS = (GVC, VPX)
MPC = (RTL, XJS)
FMB = (DGG, MPC)
GQR = (BRF, FQQ)
MBC = (QVC, GBR)
GKQ = (CKX, CKX)
BGB = (BMS, HFP)
PNM = (GFL, JPX)
QXK = (TSC, CFM)
XXL = (RLS, QFX)
HBD = (GFP, XXJ)
DQB = (DVK, NDD)
TBP = (JPT, JPT)
CDN = (TQJ, RNJ)
XXJ = (VDK, QQF)
CGB = (HPM, JSC)
HJM = (XXL, DRR)
CJV = (BHL, DJQ)
PRR = (DVH, CJB)
DSH = (VDB, VDB)
DCN = (MXJ, QVB)
MVN = (GTX, KHN)
BFD = (FRG, DHC)
TRS = (HML, TMD)
HFN = (MGD, NDF)
SRD = (HJM, HJM)
TQT = (MGC, LTL)
NHX = (JRP, FQH)
FLP = (TCN, TTT)
HFV = (XQP, DTC)
TSP = (VXL, HTC)
QNB = (NHR, XLX)
MHV = (JMC, JDC)
BKH = (QPQ, XMR)
LTL = (RTM, DKN)
SBD = (HMX, TRV)
PPR = (RPK, SST)
HBV = (GPM, HFQ)
KSB = (LTL, MGC)
VVK = (GXX, XFS)
XRX = (LBN, RKV)
CTS = (CDN, SMN)
MFC = (DGF, TSH)
SRF = (CKD, FBD)
KKC = (PRG, HNF)
RQN = (CKD, FBD)
FQQ = (HFT, QDC)
GXX = (VQV, TCQ)
SMJ = (LPF, GBH)
TJL = (TLL, RNP)
QBT = (GFL, JPX)
BVX = (GPG, DBK)
SVR = (QVP, VJD)
HSM = (FHR, FXJ)
RXG = (JQR, TNX)
CKX = (HSQ, HSQ)
GPG = (PPH, GVG)
GBR = (JSD, GJS)
JXK = (JGT, MXF)
XNT = (QBJ, DGD)
SGB = (NMG, VNR)
XLX = (HBV, XJD)
MHQ = (NHX, KKS)
RTJ = (DXP, KDT)
HDT = (LBV, QLN)
DJQ = (CHX, SGB)
FHR = (PQN, HFV)
GHN = (XTH, LCQ)
RKF = (XVP, JJK)
TCN = (JXK, MSK)
NSQ = (PMJ, XXX)
VQV = (NRR, MKG)
JVG = (QCS, KFP)
DGD = (PDC, SQH)
KFP = (QCH, NQD)
DKC = (DNV, NHM)
RHS = (PPV, TVK)
XHX = (NLT, DNG)
PRG = (VMC, XNR)
NMG = (MQQ, JJQ)
LQB = (XXJ, GFP)
MXR = (VTR, PLN)
JLK = (FLQ, KGJ)
MFT = (VFM, QDK)
FXJ = (PQN, HFV)
FBD = (VDQ, CFS)
FNC = (SSK, FTT)
MLT = (TBP, XKN)
VTR = (GPF, DNB)
TLK = (SGQ, FTL)
FXN = (TLL, RNP)
QRD = (LHL, LHL)
SDS = (JTV, HHC)
HGB = (SRD, SRD)
TRV = (KQB, DFN)
BVL = (HDT, XKB)
PRN = (PPR, BKN)
HTP = (VXL, HTC)
DMF = (JXD, HGK)
KDT = (SRF, RQN)
VJD = (TJN, DXQ)
JRP = (XXD, MFC)
HBT = (SVR, VJT)
VKS = (GHD, FTH)
GGD = (XHS, TDQ)
HFQ = (GGJ, XSG)
DFQ = (KKS, NHX)
VJL = (FCV, MSJ)
XVL = (CPF, BQB)
JSF = (PRG, HNF)
BLR = (JKM, BLV)
HNG = (DPF, BPG)
RDR = (BHK, KLG)
KGX = (CRM, BVJ)
HQR = (PTL, PRJ)
BCB = (SLS, QGH)
XDK = (LHL, RFK)
DFN = (HGM, MBC)
PFJ = (RLJ, TXM)
GHB = (FXT, RFM)
TTB = (BJV, QNB)
SQH = (RDX, VJC)
PMJ = (CKS, PRQ)
DJV = (RSQ, CGB)
TKN = (MNF, DGH)
FRG = (SXN, RCK)
BVJ = (MFT, KRK)
XNR = (SKX, TLK)
QDC = (JHN, JRD)
RLK = (TBP, TBP)
RBB = (PRR, STG)
VRR = (PVJ, FSV)
SHP = (BKH, PPJ)
LLH = (KMN, FNC)
KJT = (JDL, JDL)
DQK = (FJM, RVP)
LBV = (RDR, TPD)
RQX = (KJS, KHK)
TNX = (FPL, RRV)
VBR = (DFQ, MHQ)
CPF = (FMB, XVG)
LGM = (HBF, RQX)
BCT = (DXP, KDT)
XPX = (MBR, QBN)
CVB = (DXC, VQT)
VDB = (FGK, FGK)
JXV = (NLV, TDJ)
LLG = (BXN, GLX)
MPN = (CGP, JGR)
XJD = (HFQ, GPM)
QCH = (KLL, GVS)
KRK = (VFM, QDK)
GQG = (TRK, JVG)
SHF = (MVM, GQG)
CRS = (BLV, JKM)
NRL = (SJP, JPH)
RFM = (PND, VFN)
FLQ = (NFN, RNB)
ZZZ = (DRR, XXL)
GLX = (XFB, SJH)
DQM = (QQM, RHR)
PND = (PRN, STM)
GBJ = (HDH, CFX)
CGQ = (FDM, SQL)
HKC = (RFV, XHX)
DPK = (BHJ, DCV)
HGK = (TKR, XTC)
GXH = (RKK, VSK)
GPF = (VPS, XHQ)
BQB = (FMB, XVG)
JQJ = (QHX, SDQ)
SMT = (NHM, DNV)
FTC = (TKD, BFT)
NPS = (SDP, TTB)
XTH = (TRQ, DQL)
XKJ = (SBM, HCR)
SHT = (JLK, DCJ)
PSL = (KJT, KJT)
RNJ = (SHJ, TTV)
XBJ = (HKV, MLB)
JFT = (HKC, VPD)
XBH = (HDJ, BNX)
HCH = (HNG, JLL)
CFT = (BQB, CPF)
QVK = (KHQ, PVN)
VXL = (RLK, MLT)
SJP = (LDG, KGX)
BPG = (LKJ, LHC)
JQR = (FPL, RRV)
KMG = (PBJ, CRF)
VVT = (GQR, VCL)
BMV = (HBT, LML)
FFM = (MDX, FHM)
DCV = (VKD, BGT)
HQL = (CGQ, LHR)
SVV = (SFT, CXR)
LKJ = (VJX, BKX)
XLN = (HNK, KVL)
VTB = (QFJ, CPT)
VGQ = (PSL, PSL)
PSF = (QMS, DVL)
GVS = (HRV, RNF)
RTM = (NJJ, FSH)
DXV = (GXH, DGS)
DVL = (VTB, CLK)
PRQ = (QCL, RXG)
VJR = (SPG, CTS)
QVC = (JSD, GJS)
PXL = (DSH, BLL)
CPP = (MQF, GHB)
FSV = (NTT, PJT)
NFN = (HSM, KXF)
GSG = (TFH, BQD)
FGK = (MXR, MXR)
GHD = (MST, FBS)
TKR = (BRK, TCK)
TRQ = (JXV, GLC)
HFP = (FVR, JQJ)
CKS = (RXG, QCL)
KQB = (HGM, MBC)
RLD = (MHQ, DFQ)
CPQ = (HFP, BMS)
KLG = (KKC, JSF)
RRV = (LTQ, LKT)
VKD = (NKM, FCH)
GVG = (CBX, BFD)
RLJ = (GRX, RQR)
NPL = (VKP, SHT)
SMV = (FNC, KMN)
KPC = (BDL, HRD)
QNM = (DQH, GDH)
PHF = (BLR, CRS)
RDD = (GVC, VPX)
RLS = (KDV, FHX)
QQM = (BMV, HBC)
HNF = (VMC, XNR)
BLD = (PNM, QBT)
QPQ = (DRB, HPG)
VJT = (QVP, VJD)
HPG = (FRV, TTM)
TQJ = (TTV, SHJ)
FJM = (JDP, GBJ)
RKB = (BHL, DJQ)
KLR = (QGH, SLS)
BBM = (RTJ, BCT)
PDC = (RDX, VJC)
NDF = (KLR, BCB)
DVK = (HQL, KFR)
MGC = (RTM, DKN)
BNX = (RXN, SMJ)
TBJ = (DCV, BHJ)
BRK = (RVL, VKS)
NKX = (QSN, MHV)
DCG = (JBB, XBH)
RFV = (DNG, NLT)
CDM = (HML, TMD)
LBN = (JRR, KPC)
DRB = (FRV, TTM)
NDK = (NKH, KHP)
DMX = (TGH, DLG)
MKL = (BTM, TGJ)
KHH = (HBJ, FQC)
TFH = (CCS, MCX)
BHV = (DXV, PBV)
CVL = (LLH, SMV)
NCX = (PSL, JRB)
VQT = (TXB, GHN)
GRX = (DVD, RVC)
RKV = (KPC, JRR)
QQF = (TBJ, DPK)
KNQ = (XFS, GXX)
RKK = (KKH, PSF)
MNG = (RDG, XRX)
PPV = (KGM, QVK)
BDL = (QCD, CBV)
QCD = (PQC, TRP)
KLL = (HRV, RNF)
BJV = (XLX, NHR)
KSN = (GSG, KCK)
RVL = (FTH, GHD)
DTC = (CTR, LVL)
KPK = (MBR, QBN)
HDH = (SDR, MVN)
LPF = (LNN, LGM)
QMS = (VTB, CLK)
RSQ = (HPM, JSC)
QDK = (VLT, NSQ)
VFN = (STM, PRN)
CJC = (MGD, NDF)
CGP = (QSV, VFP)
RNB = (HSM, KXF)
FDM = (FVX, QNF)
PKD = (PVJ, FSV)
KGM = (PVN, KHQ)
TTT = (MSK, JXK)
VFM = (VLT, NSQ)
LHL = (HJL, HJL)
TTM = (XJQ, VLQ)
SHJ = (HTD, DMF)
RVC = (CRR, SFX)
FRV = (VLQ, XJQ)
DKN = (FSH, NJJ)
CPT = (CJC, HFN)
VGC = (BCT, RTJ)
FRH = (MRT, RKN)
QCS = (QCH, NQD)
KMR = (CLX, KXB)
RVP = (JDP, GBJ)
NLT = (BFN, FXC)
FVX = (FFM, DXN)
SBM = (GKQ, GKQ)
KDV = (RNQ, NPL)
GLC = (TDJ, NLV)
VKP = (DCJ, JLK)
MDX = (BNF, FTC)
PJT = (MPP, XVB)
JLH = (PRR, STG)
QVB = (FPQ, CVB)
QXZ = (PLN, VTR)
KHP = (XHR, JHK)
VHN = (TTB, SDP)
TGH = (RKB, CJV)
JHN = (KMG, HLM)
SFT = (FLP, PKR)
KXF = (FHR, FXJ)
LPG = (HHM, SLQ)
BLL = (VDB, PPG)
MRT = (LFD, NRL)
BFT = (CMC, DMX)
PTJ = (VRR, PKD)
TLL = (GCS, VJL)
BQD = (MCX, CCS)
RXN = (GBH, LPF)
HNC = (QJP, MKL)
RFK = (HJL, RPZ)
PVJ = (PJT, NTT)
AAA = (XXL, DRR)
XPV = (SBM, HCR)
DGS = (VSK, RKK)
HBF = (KJS, KHK)
RPK = (LKV, DQK)
DNG = (FXC, BFN)
DNB = (XHQ, VPS)
JPT = (HMC, HMC)
CKN = (DQX, PXL)
TMD = (XPX, KPK)
RLN = (MXR, QXZ)
XQP = (CTR, LVL)
HGM = (QVC, GBR)
XVB = (JCS, HNV)
BTM = (GMC, LLG)
QLG = (XBH, JBB)
GCS = (MSJ, FCV)
SGQ = (GGD, TVT)
VLQ = (LQM, XFF)
RDX = (SVV, JXT)
SFX = (XHF, CTT)
PQN = (DTC, XQP)
HHM = (KKJ, VVT)
BKX = (JFT, MLK)
DQF = (PPJ, BKH)
TQM = (KVL, HNK)
LSN = (KHH, DPB)
JDL = (DJV, JRM)
RBK = (BLR, CRS)
